CATEGORY,DIVISION,PROGRAM,NAME,SERIES,NAICS_SIC,HISTORIC,OVERVIEW,DEFINITIONS,POPULAR,ID_EXAMPLE
Workplace Injuries,OCWC,IIF,"Injuries, Illnesses, & Fatalities",Occupational Injuries and Illnesses - Industry Data (2014 forward),N,0,http://download.bls.gov/pub/time.series/IS/IS.txt,http://download.bls.gov/pub/time.series/IS,http://data.bls.gov/cgi-bin/surveymost?IS,ISU00000000000000
Workplace Injuries,OCWC,IIF,"Injuries, Illnesses, & Fatalities",Occupational injuries and Illnesses - Industry Data (pre-1989),N,1,http://download.bls.gov/pub/time.series/HS/HS.txt,http://download.bls.gov/pub/time.series/HS,http://data.bls.gov/cgi-bin/surveymost?HS,HSU09020018
Pay & Benefits,OCWC,NCS,National Compensation Survey,Benefits (2010 forward),N,0,http://download.bls.gov/pub/time.series/NB/NB.txt,http://download.bls.gov/pub/time.series/NB,http://data.bls.gov/cgi-bin/surveymost?NB,NBU10000000000000028007
Pay & Benefits,OCWC,NCS,National Compensation Survey,Employee Benefits Survey,S,0,http://download.bls.gov/pub/time.series/EB/EB.txt,http://download.bls.gov/pub/time.series/EB,http://data.bls.gov/cgi-bin/surveymost?EB,EBU401KINC0000ML
Pay & Benefits,OCWC,NCS,National Compensation Survey,Employer Cost for Employee Compensation,S,0,http://download.bls.gov/pub/time.series/CC/CC.txt,http://download.bls.gov/pub/time.series/CC,http://data.bls.gov/cgi-bin/surveymost?CC,CCU010000100000P
Pay & Benefits,OCWC,NCS,National Compensation Survey,Employment Cost Index,S,0,http://download.bls.gov/pub/time.series/EC/EC.txt,http://download.bls.gov/pub/time.series/EC,http://data.bls.gov/cgi-bin/surveymost?EC,ECS10001I
Pay & Benefits,OCWC,NCS,National Compensation Survey,Modeled Wage Estimates,N,0,http://download.bls.gov/pub/time.series/WM/WM.txt,http://download.bls.gov/pub/time.series/WM,http://data.bls.gov/cgi-bin/surveymost?WM,WMU00000001020000001300002400
Pay & Benefits,OCWC,NCS,National Compensation Survey,National Compensation Survey,N,0,http://download.bls.gov/pub/time.series/NC/NC.txt,http://download.bls.gov/pub/time.series/NC,http://data.bls.gov/cgi-bin/surveymost?NC,NCU5306623300003
Employment & Unemployment,OCWC,NCS,National Compensation Survey,Occupational Requirements Survey,N,0,http://download.bls.gov/pub/time.series/OR/OR.txt,http://download.bls.gov/pub/time.series/OR,http://data.bls.gov/cgi-bin/surveymost?OR,ORUC1000000000000842
Pay & Benefits,OCWC,NCS,National Compensation Survey,Work Stoppage Data,N,0,http://download.bls.gov/pub/time.series/WS/WS.txt,http://download.bls.gov/pub/time.series/WS,http://data.bls.gov/cgi-bin/surveymost?WS,WSU200
Employment & Unemployment,OEUS,CES,Current Employment Statistics,"National Employment, Hours, and Earnings",N,0,http://download.bls.gov/pub/time.series/CE/CE.txt,http://download.bls.gov/pub/time.series/CE,http://data.bls.gov/cgi-bin/surveymost?CE,CEU0800000003
Employment & Unemployment,OEUS,CES,Current Employment Statistics,"National Employment, Hours, and Earnings",S,0,http://download.bls.gov/pub/time.series/EE/EE.txt,http://download.bls.gov/pub/time.series/EE,http://data.bls.gov/cgi-bin/surveymost?EE,EES10140001
Employment & Unemployment,OEUS,CEW,Business Employment Dynamics,Business Employment Dynamics,N,0,http://download.bls.gov/pub/time.series/BD/BD.txt,http://download.bls.gov/pub/time.series/BD,http://data.bls.gov/cgi-bin/surveymost?BD,BDS0000000000000000110101LQ5
Employment & Unemployment,OEUS,CEW,Quarterly Census of Employment and Wages,State and County Employment and Wages,N,0,http://www.bls.gov/help/def/en.htm,http://data.bls.gov/cew/doc/access/csv_data_slices.htm,http://data.bls.gov/cgi-bin/surveymost?EN,ENU3600010010
Employment & Unemployment,OEUS,CEW,Quarterly Census of Employment and Wages,State and County Employment and Wages (1997-2000),S,1,http://www.bls.gov/help/def/ew.htm,http://data.bls.gov/cew/doc/access/csv_data_slices.htm,http://data.bls.gov/cgi-bin/surveymost?EW,EWU040131050A0115
Employment & Unemployment,OEUS,CPS,Current Population Survey,Labor Force Statistics,N,0,http://www.bls.gov/cps/lfcharacteristics.htm,http://download.bls.gov/pub/time.series/LN,http://data.bls.gov/cgi-bin/surveymost?LN,LNS11000000
Employment & Unemployment,OEUS,CPS,Current Population Survey,Marital and Family Labor Force Statistics,N,0,http://download.bls.gov/pub/time.series/FM/FM.txt,http://download.bls.gov/pub/time.series/FM,http://data.bls.gov/cgi-bin/surveymost?FM,FMUP1378851
Employment & Unemployment,OEUS,CPS,Current Population Survey,Mass Layoff Statistics,N,1,http://download.bls.gov/pub/time.series/ML/ML.txt,http://download.bls.gov/pub/time.series/ML,http://data.bls.gov/cgi-bin/surveymost?ML,MLUMS00NN0001003
Employment & Unemployment,OEUS,CPS,Current Population Survey,Union Affiliation Data,N,0,http://download.bls.gov/pub/time.series/LU/LU.txt,http://download.bls.gov/pub/time.series/LU,http://data.bls.gov/cgi-bin/surveymost?LU,LUU0203161800
Employment & Unemployment,OEUS,GGS,Green Goods and Services,Green Goods and Services,N,1,http://download.bls.gov/pub/time.series/GG/GG.txt,http://download.bls.gov/pub/time.series/GG,http://data.bls.gov/cgi-bin/surveymost?GG,GGUA000000000000000010L
Employment & Unemployment,OEUS,GPS,Geographic Profile of Employment & Unemployment,Geographic Profile,N,0,http://download.bls.gov/pub/time.series/GP/GP.txt,http://download.bls.gov/pub/time.series/GP,http://data.bls.gov/cgi-bin/surveymost?GP,GPU00200000R0328
Employment & Unemployment,OEUS,JOLTS,Job Openings and Labor Turnover Survey,Job Openings and Labor Turnover Survey,S,0,http://download.bls.gov/pub/time.series/JL/JL.txt,http://download.bls.gov/pub/time.series/JL,http://data.bls.gov/cgi-bin/surveymost?JL,JLU00000000HIL
Employment & Unemployment,OEUS,JOLTS,Job Openings and Labor Turnover Survey,Job Openings and Labor Turnover Survey,N,0,http://download.bls.gov/pub/time.series/JT/JT.txt,http://download.bls.gov/pub/time.series/JT,http://data.bls.gov/cgi-bin/surveymost?JT,JTU00000000HIL
Employment & Unemployment,OEUS,LAU,Local Area Unemployment Statistics,Local Area Unemployment Statistics,N,0,http://download.bls.gov/pub/time.series/LA/LA.txt,http://download.bls.gov/pub/time.series/LA,http://data.bls.gov/cgi-bin/surveymost?LA,LAUCN281070000000003
Employment & Unemployment,OEUS,OES,Occupational Employment Statistics,Employment and Wages,N,0,http://download.bls.gov/pub/time.series/OE/OE.txt,http://download.bls.gov/pub/time.series/OE,http://data.bls.gov/cgi-bin/surveymost?OE,OEUN000000021210011000001
Employment & Unemployment,OEUS,SEA,Current Employment Statistics,"State and Area Employment, Hours, and Earnings",S,0,http://download.bls.gov/pub/time.series/SA/SA.txt,http://download.bls.gov/pub/time.series/SA,http://data.bls.gov/cgi-bin/surveymost?SA,SAS0800002000011
Employment & Unemployment,OEUS,SEA,Current Employment Statistics,"State and Area Employment, Hours, and Earnings",N,0,http://download.bls.gov/pub/time.series/SM/SM.txt,http://download.bls.gov/pub/time.series/SM,http://data.bls.gov/cgi-bin/surveymost?SM,SMU19197802023800001
Spending & Time Use,OEUS,TUS,American Time Use Survey,American Time Use Survey,N,0,http://download.bls.gov/pub/time.series/TU/TU.txt,http://download.bls.gov/pub/time.series/TU,http://data.bls.gov/cgi-bin/surveymost?TU,TUU10101AA01011987
Spending & Time Use,OPLC,CEX,Consumer Expenditure Survey,Consumer Expenditure Survey,N,0,http://download.bls.gov/pub/time.series/CX/CX.txt,http://download.bls.gov/pub/time.series/CX,http://data.bls.gov/cgi-bin/surveymost?CX,CXUMENBOYSLB0101M
Inflation & Prices,OPLC,CPI,Consumer Price Index,All Urban Consumers,N,0,http://download.bls.gov/pub/time.series/CU/CU.txt,http://download.bls.gov/pub/time.series/CU,http://data.bls.gov/cgi-bin/surveymost?CU,CUUR0000SA0L1E
Inflation & Prices,OPLC,CPI,Consumer Price Index,All Urban Consumers (Old Series),N,1,http://download.bls.gov/pub/time.series/MU/MU.txt,http://download.bls.gov/pub/time.series/MU,http://data.bls.gov/cgi-bin/surveymost?MU,MUSR0000SA111211
Inflation & Prices,OPLC,CPI,Consumer Price Index,Average Price Data,N,0,http://download.bls.gov/pub/time.series/AP/AP.txt,http://download.bls.gov/pub/time.series/AP,http://data.bls.gov/cgi-bin/surveymost?AP,APU0000702111
Inflation & Prices,OPLC,CPI,Consumer Price Index,Chained CPI-All Urban Consumers,N,0,http://download.bls.gov/pub/time.series/SU/SU.txt,http://download.bls.gov/pub/time.series/SU,http://data.bls.gov/cgi-bin/surveymost?SU,SUUR0000SA0
Inflation & Prices,OPLC,CPI,Consumer Price Index,Department Store Inventory Price Index,N,1,http://download.bls.gov/pub/time.series/LI/LI.txt,http://download.bls.gov/pub/time.series/LI,http://data.bls.gov/cgi-bin/surveymost?LI,LIUR0000SL00019
Inflation & Prices,OPLC,CPI,Consumer Price Index,Urban Wage Earners and Clerical Workers,N,0,http://download.bls.gov/pub/time.series/CW/CW.txt,http://download.bls.gov/pub/time.series/CW,http://data.bls.gov/cgi-bin/surveymost?CW,CWSR0000SA0L1E
Inflation & Prices,OPLC,CPI,Consumer Price Index,Urban Wage Earners and Clerical Workers (Old Series),N,1,http://download.bls.gov/pub/time.series/MW/MW.txt,http://download.bls.gov/pub/time.series/MW,http://data.bls.gov/cgi-bin/surveymost?MW,MWSR0000SA111211
International,OPLC,IPP,International Price Program,Import/Export Price Indexes,N,0,http://download.bls.gov/pub/time.series/EI/EI.txt,http://download.bls.gov/pub/time.series/EI,http://data.bls.gov/cgi-bin/surveymost?EI,EIUCOCANMANU
Inflation & Prices,OPLC,PPI,Producer Price Index,Commodity Data - Current Series,N,0,http://download.bls.gov/pub/time.series/WP/WP.txt,http://download.bls.gov/pub/time.series/WP,http://data.bls.gov/cgi-bin/surveymost?WP,WPS141101
Inflation & Prices,OPLC,PPI,Producer Price Index,Commodity Data - Discontinued Series,N,1,http://download.bls.gov/pub/time.series/WD/WD.txt,http://download.bls.gov/pub/time.series/WD,http://data.bls.gov/cgi-bin/surveymost?WD,WDU062201
Inflation & Prices,OPLC,PPI,Producer Price Index,Industry Data - Current Series,N,0,http://download.bls.gov/pub/time.series/PC/PC.txt,http://download.bls.gov/pub/time.series/PC,http://data.bls.gov/cgi-bin/surveymost?PC,PCU22112222112241
Inflation & Prices,OPLC,PPI,Producer Price Index,Industry Data - Discontinued Series,N,1,http://download.bls.gov/pub/time.series/ND/ND.txt,http://download.bls.gov/pub/time.series/ND,http://data.bls.gov/cgi-bin/surveymost?ND,NDU1051111051112345
Inflation & Prices,OPLC,PPI,Producer Price Index,Industry Data - Discontinued Series,S,1,http://download.bls.gov/pub/time.series/PD/PD.txt,http://download.bls.gov/pub/time.series/PD,http://data.bls.gov/cgi-bin/surveymost?PD,PDU1031#214
Productivity,OPT,LPC,Productivity & Costs,Industry Productivity,N,0,http://download.bls.gov/pub/time.series/IP/IP.txt,http://download.bls.gov/pub/time.series/IP,http://data.bls.gov/cgi-bin/surveymost?IP,IPUBN212___W000
Productivity,OPT,LPC,Productivity & Costs,Major Sector Multifactor Productivity,N,0,http://download.bls.gov/pub/time.series/MP/MP.txt,http://download.bls.gov/pub/time.series/MP,http://data.bls.gov/cgi-bin/surveymost?MP,MPU4900012
Productivity,OPT,LPC,Productivity & Costs,Major Sector Productivity and Costs,N,0,http://download.bls.gov/pub/time.series/PR/PR.txt,http://download.bls.gov/pub/time.series/PR,http://data.bls.gov/cgi-bin/surveymost?PR,PRS85006032
