Year,Title,Legislation,Source
1957,"Refugee-Escapee Act of September 11, 1957",71 Statutes-at-Large 639,USCIS
1958,"Act of July 25, 1958",72 Statutes-at-Large 419,USCIS
1958,"Act of August 21, 1958",72 Statutes-at-Large 699,USCIS
1959,"Act of September 22, 1959",73 Statutes-at-Large 644,USCIS
1960,"Act of July 14, 1960",74 Statutes-at-Large 504,USCIS
1961,"Act of August 17, 1961",75 Statutes-at-Large 364,USCIS
1961,"Act of September 26, 1961",75 Statutes-at-Large 650,USCIS
1962,"Act of October 24, 1962",76 Statutes-at-Large 1247,USCIS
1963,"Act of December 13, 1963",77 Statutes-at-Large 363,USCIS
1965,"Immigration and Nationality Act Amendments of October 3, 1965",79 Statutes-at-Large 911,USCIS
1966,"Freedom of Information Act of July 4, 1966",80 Statutes-at-Large 250,USCIS
1966,"Act of November 6, 1966",80 Statutes-at-Large 1322,USCIS
1966,"Cuban Refugee Adjustment Act of November 2, 1966",80 Statutes-at-Large 1161,USCIS
1967,"Act of December 18, 1967",81 Statutes-at-Large 661,USCIS
1968,"Act of June 19, 1968",82 Statutes-at-Large 197,USCIS
1968,"Act of October 24, 1968",82 Statutes-at-Large 1343,USCIS
1970,"Act of April 7, 1970",84 Statutes-at-Large 116,USCIS
1971,"Act of August 10, 1971",85 Statutes-at-Large 302,USCIS
1971,"Act of September 28, 1971",85 Statutes-at-Large 348,USCIS
1972,"Act of October 27, 1972",86 Statutes-at-Large 1289,USCIS
1972,"Social Security Act Amendments of October 30, 1972",86 Statutes-at-Large 1329,USCIS
1974,"Act of October 20, 1974",88 Statutes-at-Large 1387,USCIS
1975,"Indochina Migration and Refugee Assistance Act of May 23, 1975",89 Statutes-at-Large 87,USCIS
1976,"Act of June 21, 1976",90 Statutes-at-Large 691,USCIS
1976,"Act of October 12, 1976",90 Statutes-at-Large 2243,USCIS
1976,"Immigration and Nationality Act Amendments of October 20, 1976",90 Statutes-at-Large 2703,USCIS
1978,"Act of October 20, 1976 Effective January 1, 1978",90 Statutes-at-Large 2706,USCIS
1977,"Act of August 1, 1977",91 Statutes-at-Large 394,USCIS
1977,"Act of October 28, 1977",91 Statutes-at-Large 1223,USCIS
1978,"Act of October 5, 1978",92 Statutes-at-Large 907,USCIS
1978,"Act of October 5, 1978",92 Statutes-at-Large 917,USCIS
1978,"Act of October 7, 1978",92 Statutes-at-Large 963,USCIS
1978,"Act of October 14, 1978",92 Statutes-at-Large 1263,USCIS
1978,"Act of October 30, 1978",92 Statutes-at-Large 2065,USCIS
1978,"Act of November 2, 1978",92 Statutes-at-Large 2479,USCIS
1979,"Panama Canal Act of September 27, 1979",93 Statutes-at-Large 452,USCIS
1980,"Refugee Act of March 17, 1980",94 Statutes-at-Large 102,USCIS
1980,"Refugee Education Assistance Act of October 10, 1980",94 Statutes-at-Large 1799,USCIS
1981,"Act of June 5, 1981",95 Statutes-at-Large 14,USCIS
1981,"Act of August 13, 1981",95 Statutes-at-Large 357,USCIS
1981,"Immigration and Nationality Act Amendments of December 20, 1981",95 Statutes-at-Large 1611,USCIS
1982,"Act of September 30, 1982",96 Statutes-at-Large 1157,USCIS
1982,"Act of October 2, 1982",96 Statutes-at-Large 1186,USCIS
1982,"Act of October 22, 1982",96 Statutes-at-Large 1716,USCIS
1986,"Immigration Reform and Control Act of November 6, 1986",100 Statutes-at-Large 3359,USCIS
1986,"Immigration Marriage Fraud Amendments of November 10, 1986",100 Statutes-at-Large 3537,USCIS
1987,"Amerasian Homecoming Act of December 22, 1987",101 Statutes-at-Large 1329,USCIS
1988,"Act of September 28, 1988",102 Statutes-at-Large 1876,USCIS
1988,"Act of November 15, 1988",102 Statutes-at-Large 3908,USCIS
1989,"Foreign Operations Act of November 21, 1989",103 Statutes-at-Large 1195,USCIS
1989,"Act of December 18, 1989",103 Statutes-at-Large 2099,USCIS
1990,"Immigration Act of November 29, 1990",104 Statutes-at-Large 4978,USCIS
1991,"Armed Forces Immigration Adjustment Act of October 1, 1991",105 Statutes-at-Large 555,USCIS
1991,"Act of December 12, 1991",105 Statutes-at-Large 1733,USCIS
1992,"Chinese Student Protection Act of October 9, 1992",106 Statutes-at-Large 1969,USCIS
1992,"Soviet Scientists Immigration Act of October 10, 1992",106 Statutes-at-Large 3316,USCIS
1993,"Act of December 8, 1993",107 Statutes-at-Large 2057,USCIS
1994,"Violent Crime Control and Law Enforcement Act of September 13, 1994",108 Statutes-at-Large 1796,USCIS
1996,"Antiterrorism and Effective Death Penalty Act of April 24, 1996",110 Statutes-at-Large 1214,USCIS
1996,"Personal Responsibility and Work Opportunity Reconciliation Act of August 22, 1996",110 Statutes-at-Large 2105,USCIS
1996,"Illegal Immigration Reform and Immigrant Responsibility Act of September 30, 1996",110 Statutes-at-Large 3009,USCIS
1997,"Act of August 8, 1997",PL 105-38,CONGRESS
1997,"Religious Workers Act of October 6, 1997",PL 105-54,CONGRESS
1997,"Act of November 12, 1997",PL 105-73,CONGRESS
1997,"Act of December 2, 1997",PL 105-136,CONGRESS
1997,"Act of December 2, 1997",PL 105-139,CONGRESS
1998,"Visa Waiver Pilot Program Reauthorization Act of April 27, 1998",PL 105-173,CONGRESS
1998,"Act of October 15, 1998",PL 105-259,CONGRESS
1998,"Irish Peace Process Cultural and Training Program Act of October 30, 1998",PL 105-319,CONGRESS
1998,"Act of November 10, 1998",PL 105-360,CONGRESS
1999,"Nursing Relief for Disadvantaged Areas Act of November 12, 1999",PL 106-95,CONGRESS
1999,"Act of November 13, 1999",PL 106-104,CONGRESS
1999,"Act of December 7, 1999",PL 106-139,CONGRESS
2000,"Hmong Veterans' Naturalization Act of May 26, 2000",PL 106-207,CONGRESS
2000,"Act of June 15, 2000",PL 106-215,CONGRESS
2000,"Kids 2000 Act of October 17, 2000",PL 106-313,CONGRESS
2000,"Act of October 17, 2000",PL 106-311,CONGRESS
2000,"Act of October 27, 2000",PL 106-378,CONGRESS
2000,"Child Citizenship Act of October 30, 2000",PL 106-395,CONGRESS
2000,"Visa Waiver Permanent Program Act of October 30, 2000",PL 106-396,CONGRESS
2000,"International Patient Act of November 1, 2000",PL 106-406,CONGRESS
2000,"Religious Workers Act of November 1, 2000",PL 106-409,CONGRESS
2000,"Act of November 1, 2000",PL 106-415,CONGRESS
2000,"Act of November 6, 2000",PL 106-448,CONGRESS
2000,"Bring Them Home Alive Act of November 9, 2000",PL 106-484,CONGRESS
2000,"Act of November 22, 2000",PL 106-536,CONGRESS
2001,"Act of October 1, 2001",PL 107-45,CONGRESS
2002,"Act of January 16, 2002",PL 107-124,CONGRESS
2002,"Act of January 16, 2002",PL 107-125,CONGRESS
2002,"Basic Pilot Extension Act of January 16, 2002",PL 107-128,CONGRESS
2002,"Family Sponsor Immigration Act of March 13, 2002",PL 107-150,CONGRESS
2002,"Enhanced Border Security and Visa Entry Reform Act of May 14, 2002",PL 107-173,CONGRESS
2002,"Act of May 30, 2002",PL 107-185,CONGRESS
2002,"Child Status Protection Act of August 6, 2002",PL 107-208,CONGRESS
2002,"Act of October 4, 2002",PL 107-234,CONGRESS
2002,"Persian Gulf War POW/MIA Accountability Act of October 29, 2002",PL 107-258,CONGRESS
2002,"Border Commuter Student Act of November 2, 2002",PL 107-274,CONGRESS
2003,"Act of October 15, 2003",PL 108-99,CONGRESS
2003,"Basic Pilot Program Extension and Expansion Act of December 3, 2003",PL 108-156,CONGRESS
2004,"Act of August 9, 2004",PL 108-299,CONGRESS
2004,"Act of October 30, 2004",PL 108-390,CONGRESS
2004,"Act of December 3, 2004",PL 108-441,CONGRESS
2004,"Act of December 10, 2004",PL 108-449,CONGRESS
2005,"Repeal and Identification Security Enhancement ID Act of May 11, 2005",119 Statutes-at-Large 302,USNA
2006,"Passport Services Enhancement Act of January 10, 2006",PL 109-167,CONGRESS
2006,"Secure Fence Act of October 26, 2006",PL 109-367,CONGRESS
2006,"Nursing Relief for Disadvantaged Areas Reauthorization Act of December 20, 2006",PL 109-423,CONGRESS
2006,"Act of December 22, 2006",PL 109-463,CONGRESS
2007,"Physicians for Underserved Areas Act of January 12, 2007",PL 109-477,CONGRESS
2007,"Act of June 15, 2007",PL 110-36,CONGRESS
2008,"Act of June 3, 2008",PL 110-242,CONGRESS
2008,"Kendell Frederick Citizenship Assistance Act of June 26, 2008",PL 110-251,CONGRESS
2008,"Act of July 1, 2008",PL 110-257,CONGRESS
2008,"Act of October 8, 2008",PL 110-362,CONGRESS
2008,"Military Personnel Citizenship Processing Act of October 9, 2008",PL 110-382,CONGRESS
2008,"Special Immigrant Nonminister Religious Worker Program Act of October 10, 2008",PL 110-391,CONGRESS
2009,"Act of March 20, 2009",PL 111-9,CONGRESS
2009,"Act of November 6, 2009",PL 111-94,CONGRESS
2010,"Act of August 13, 2010",PL 111-230,CONGRESS
2010,"International Adoption Simplification Act of November 30, 2010",PL 111-287,CONGRESS
2010,"Help HAITI Act of December 9, 2010",PL 111-293,CONGRESS
2010,"Act of December 14, 2010",PL 111-306,CONGRESS
2011,"Asia-Pacific Economic Cooperation Business Travel Cards Act of November 12, 2011",PL 112-54,CONGRESS
2011,"Act of November 23, 2011",PL 112-58,CONGRESS
2012,"Act of June 8, 2012",PL 112-130,CONGRESS
2012,"Act of September 28, 2012",PL 112-176,CONGRESS
2012,"Jaime Zapata Border Enforcement Security Task Force Act of December 7, 2012",PL 112-205,CONGRESS
2012,"Act of December 28, 2012",PL 112-227,CONGRESS
2013,"Act of October 4, 2013",PL 113-42,CONGRESS
2014,"Accuracy for Adoptees Act of January 16, 2014",PL 113-74,CONGRESS
2014,"Act of April 18, 2014",PL 113-100,CONGRESS
2014,"Emergency Afghan Allies Extension Act of August 8, 2014",PL 113-160,CONGRESS
2014,"Act of December 16, 2014",PL 113-229,CONGRESS
2015,"Adoptive Family Relief Act of October 16, 2015",PL 114-70,CONGRESS
2017,"Act of August 22, 2017",PL 115-53,CONGRESS
2017,"Asia-Pacific Economic Cooperation Business Travel Cards Act of November 2, 2017",PL 115-79,CONGRESS
2017,"Javier Vega, Jr. Memorial Act of November 2, 2017",PL 115-81,CONGRESS
