Category,Form,Description,Status,2017,2016,2015,2014,2013,2012,2011,2010,2009
Humanitarian,I-589,Asylum Application,Approved,"13,105","9,538","14,344","10,811","11,962",0,,,
Humanitarian,I-589,Asylum Application,Received,"142,760","115,888","84,236","56,912","44,453",76081,,,
Humanitarian,I-730,Refugee/Asylee Relative Petitions,Approved,"8,823","14,135","12,433","12,362","18,740",18237,,,
Humanitarian,I-730,Refugee/Asylee Relative Petitions,Received,"13,031","13,708","15,756","16,768","18,458",18771,,,
Humanitarian,I-817,Family Unity Applications,Approved,472,"1,168","2,165","1,115","2,345",2895,,,
Humanitarian,I-817,Family Unity Applications,Received,"1,356",916,"1,444","2,067","2,378",2525,,,
Humanitarian,I-821,Temporary Protected Status,Approved,"163,093","187,521","258,722","94,837","291,258",308062,,,
Humanitarian,I-821,Temporary Protected Status,Received,"61,248","302,611","286,034","54,617","328,022",286216,,,
Humanitarian,I-821D,Deferred Action for Childhood Arrivals,Approved,"462,713","199,084","511,937","158,338","549,293",  ,,,
Humanitarian,I-821D,Deferred Action for Childhood Arrivals,Received,"472,873","260,725","484,319","262,535","432,307",  ,,,
Humanitarian,I-867,Credible Fear Referral,Approved,0,  ,  ,0,0,  ,,,
Humanitarian,I-867,Credible Fear Referral,Received,"79,842","94,048","48,052","51,001","36,035",  ,,,
Humanitarian,I-881,NACARA 203 Applications,Approved,546,595,651,"1,060",574,0,,,
Humanitarian,I-881,NACARA 203 Applications,Received,560,642,700,795,"1,108",1585,,,
Humanitarian,I-889,Reasonable Fear,Approved,0,  ,  ,0,0,  ,,,
Humanitarian,I-889,Reasonable Fear,Received,"10,273","9,632","8,015","9,084","7,735",  ,,,
Humanitarian,I-914,T Nonimmigrant Status Applications,Approved,"1,362","1,736","1,304","1,401","1,058",674,,,
Humanitarian,I-914,T Nonimmigrant Status Applications,Received,"2,259","1,848","2,224","1,869",799,885,,,
Humanitarian,I-918,U Nonimmigrant Status Applications,Approved,"17,726","17,937","17,694","18,520","12,352",10122,,,
Humanitarian,I-918,U Nonimmigrant Status Applications,Received,"61,686","60,710","52,666","45,268","25,432",24768,,,
Humanitarian,I-929,Petitions for Family of U Nonimmigrants,Approved,962,761,501,345,196,,,,
Humanitarian,I-929,Petitions for Family of U Nonimmigrants,Received,"1,511","1,084",933,679,397,,,,
Humanitarian,Legalization 6,Legalization/ SAW,Approved,26,53,119,151,385,41,,,
Humanitarian,Legalization 6,Legalization/ SAW,Received,81,116,130,144,210,210,,,
Other,I-102,Replace I-94s,Approved,"5,995","5,438","6,104","7,989","13,554",14368,,,
Other,I-102,Replace I-94s,Received,"7,358","7,489","7,932","9,679","13,715",16616,,,
Other,I-131,Reentry Permit/Refugee Travel Document,Approved,"95,808","75,663","81,785","73,734","102,150",89246,,,
Other,I-131,Advance Parole,Approved,"354,549","344,769","300,223","255,476","299,308",289417,,,
Other,I-131,Reentry Permit/Refugee Travel Document,Received,"82,727","88,236","85,966","88,338","91,246",86661,,,
Other,I-131,Advance Parole,Received,"416,417","359,715","332,118","287,230","289,873",287554,,,
Other,I-193,Passport/Visa Waiver Applications,Approved,108,160,141,200,212,190,,,
Other,I-193,Passport/Visa Waiver Applications,Received,144,219,246,323,471,454,,,
Other,I-360,Immigrant Petitions,Approved,"22,179","31,329","26,357","16,850","19,357",10599,,,
Other,I-360,Immigrant Petitions,Received,"38,927","39,407","26,489","20,270","20,161",19193,,,
Other,I-485,Other Adjustments of Status,Approved,"27,794","28,281","25,318","23,955","16,329",13853,,,
Other,I-485,Other Adjustments of Status,Received,"34,470","33,005","29,594","27,626","22,606",15032,,,
Other,I-539,Applications to Extend/ Change Nonimmigrant Status,Approved,"180,899","207,866","146,340","173,929","168,254",135820,,,
Other,I-539,Applications to Extend/ Change Nonimmigrant Status,Received,"233,430","214,785","199,820","182,184","148,274",153084,,,
Other,I-824,Action on Approved Applications or Petitions,Approved,"8,055","10,835","10,015","9,079","10,457",11270,,,
Other,I-824,Action on Approved Applications or Petitions,Received,"11,494","10,888","11,627","12,151","12,227",11863,,,
Other,I-90,Renew/Replace Permanent Resident Cards,Approved,"471,557","646,158","874,975","639,014","288,892",891002,,,
Other,I-90,Renew/Replace Permanent Resident Cards,Received,"782,967","751,357","767,558","781,701","443,065",720847,,,
Other,Waivers 7,Waivers,Approved,"35,457","36,266","35,948","42,282","34,925",27719,,,
Other,Waivers 7,Waivers,Received,"76,158","72,441","65,592","63,126","64,164",45523,,,
