Category and Form No.,,Description,Forms by Status and Period,,,,,,,,,,,,,,,,,
,,,1st Quarter1,1st Quarter1,1st Quarter1,1st Quarter1,2nd Quarter1,2nd Quarter1,2nd Quarter1,2nd Quarter1,3rd Quarter1,3rd Quarter1,3rd Quarter1,3rd Quarter1,4th Quarter1,4th Quarter1,4th Quarter1,4th Quarter1,Fiscal Year 2014 To-Date,Fiscal Year 2014 To-Date
Employment Based,I-140,Immigrant Petitions for Workers,"14,566","10,393","1,759","15,166","17,879","10,930","1,593","24,595","24,254","20,490","1,924","27,175","24,959","20,482","2,041","30,430","81,658","62,295"
Employment Based,I-485,Employment-Based Adjustments,"30,568","31,702","1,824","117,921","29,639","30,651","1,611","118,966","29,200","25,448","1,749","122,754","33,125","39,138","1,722","115,089","122,532","126,939"
Employment Based,I-526,Petitions by Entrepreneurs,"2,143","1,453",811,"7,363","2,540","1,429",257,"8,302","3,005","1,133",125,"10,375","3,240","1,100",73,"12,453","10,928","5,115"
Employment Based,I-765,Employment Authorization Documents,"277,483","312,969","23,565","252,013","298,443","249,993","23,276","280,205","387,920","299,898","25,039","348,070","406,558","350,504","31,199","374,589","1,370,404","1,213,364"
Employment Based,I-829,Remove Conditions on Entrepreneur,370,159,43,"1,508",502,297,75,"1,637",667,505,12,"1,787",977,642,48,"2,075","2,516","1,603"
Employment Based,I-924,Regional Center Applications,392,67,11,599,100,58, D ,212,64,98, D ,239,86,71,13,242,642,294
Humanitarian,,,,,,,,,,,,,,,,,,,,
Humanitarian,I-485,Asylum Adjustments,"10,581","8,213",357,"19,663","10,426","11,073",351,"18,661","11,872","9,388",368,"20,493","9,098","9,272",372,"20,560","41,977","37,946"
Humanitarian,I-485,Refugee Adjustments,"18,067","12,987",364,"19,663","16,500","14,353",431,"18,661","19,021","14,789",335,"32,503","16,615","13,903",294,"35,961","70,203","56,032"
Humanitarian,I-485,Cuban Adjustment Act,"10,441","10,091",431,"27,053","12,660","9,767",551,"28,420","12,197","12,442",614,"28,582","10,829","6,427",552,"32,577","46,127","38,727"
Humanitarian,I-589,Asylum Application,"11,668","2,418",100,"26,942","12,461","2,673",138,"29,494","15,640","3,616",173,"51,855","17,143","2,104",171,"61,479","56,912","10,811"
Humanitarian,Legalization6,Legalization/ SAW,54,36,68,467,28,37,91,412,33,53,86,373,29,25,58,354,144,151
Humanitarian,I-730,Refugee/Asylee Relative Petitions,"4,139","3,706",700,"7,837","4,236","3,385",694,"8,402","4,062","2,482",750,"9,341","4,331","2,789",722,"9,876","16,768","12,362"
Humanitarian,I-817,Family Unity Applications,441,306, D ,738,606,205,16,"1,117",572,308,11,"1,384",448,296,13,"1,503","2,067","1,115"
Humanitarian,I-821,Temporary Protected Status,"2,703","39,661","2,292","13,119","6,692","6,450","2,590","10,360","41,163","25,521","1,172","25,986","4,059","23,205","1,556","5,527","54,617","94,837"
Humanitarian,I-821D,Deferred Action for Childhood Arrivals,"36,751","47,628","4,665","73,200","35,190","31,473","4,336","69,197","48,997","27,724","3,650","80,477","141,985","51,513","8,634","152,795","262,535","158,338"
Humanitarian,I-867,Credible Fear Referral,"10,786", N , N ,857,"9,607", N , N ,"1,034","15,941", N , N ,"1,636","14,667", N , N ,787,"51,001", -   
Humanitarian,I-881,NACARA 203 Applications,198,108,13,938,196,205,18,941,216,389,44,749,185,358,101,486,795,"1,060"
Humanitarian,I-899,Reasonable Fear,"2,235", N , N ,"1,688","1,921", N , N ,"1,365","2,452", N , N ,"1,342","2,476", N , N ,"1,201","9,084", -   
Humanitarian,I-914,T Nonimmigrant Status Applications,409,336,47,998,508,317,58,"1,136",472,251,60,"1,304",480,497,93,"1,196","1,869","1,401"
Humanitarian,I-918,U Nonimmigrant Status Applications,"10,651","16,578","1,116","51,536","10,194","1,106","2,245","58,510","11,810",531,"1,881","68,195","12,613",305,"1,831","79,009","45,268","18,520"
Humanitarian,I-929,Petitions for Family of U Nonimmigrants,145,71, D ,320,146,91,10,366,186,87, D ,457,202,96,13,556,679,345
Citizenship and Nationality,,,,,,,,,,,,,,,,,,,,
Citizenship and Nationality,N-300,Declaration of Intent, D , D , -   ,13, D , D , D , D , D , D , D ,13, D ,13, -   , D ,22,25
Citizenship and Nationality,N-336,Requests for Hearing,"1,156",576,482,"2,866","1,052",640,465,"2,857","1,099",630,486,"2,770","1,000",511,482,"2,791","4,307","2,357"
Citizenship and Nationality,N-400,Military Naturalization,"2,204","2,135",241,"3,018","2,665","2,185",246,"3,479","2,662","2,421",209,"4,101","2,343","2,229",190,"4,467","9,874","8,970"
Citizenship and Nationality,N-400,Non-Military Naturalization,"155,582","154,901","17,311","293,228","199,391","149,331","16,419","331,447","231,669","154,938","15,643","400,668","177,308","186,369","16,508","379,790","763,950","645,539"
Citizenship and Nationality,N-470,Preserve Residence for Naturalization,80,11, D ,594,72,18,36,611,82,119,95,493,77,148,84,335,311,296
Citizenship and Nationality,N-565,Replace Naturalization/Citizenship Certificates,"5,946","6,203",851,"6,265","7,629","4,032",581,"9,384","7,511","2,923",484,"13,231","6,646","1,802",324,"17,910","27,732","14,960"
Citizenship and Nationality,N-600/600K,Recognition of Citizenship Applications,"13,714","15,489","1,481","29,672","15,436","13,564","1,526","30,807","17,215","15,043","1,478","30,931","14,498","13,456","1,367","30,359","60,863","57,552"
Citizenship and Nationality,N-644,Posthumous Naturalization, -   , -   , -   ,4, -   , -   ,2,4, -   , -   , -   ,4, -   , -   , -   ,4, -   , -   
Citizenship and Nationality,N-648,Disability Exception Applications,"4,417","4,581","2,051","2,228","4,405","4,560","1,989","2,496","2,701","3,063","1,579","2,879","2,683","3,122","1,562","3,013","14,206","15,326"
Other,,,,,,,,,,,,,,,,,,,,
Other,I-90,Renew/Replace Permanent Resident Cards,"150,435","96,133","8,077","404,452","225,383","113,711","7,197","510,240","210,794","189,676","9,561","528,504","195,089","239,494","9,609","478,121","781,701","639,014"
Other,I-102,Replace I-94s,"2,385","2,255",486,"2,986","2,533","2,235",537,"2,909","2,558","1,991",541,"2,993","2,203","1,508",456,"3,341","9,679","7,989"
Other,I-131,Reentry Permit/Refugee Travel Document,"18,478","12,733","1,154","23,998","21,013","13,051","1,105","30,908","24,961","19,354",899,"35,750","23,886","28,596",668,"30,538","88,338","73,734"
Other,I-131,Advance Parole,"67,474","66,772","2,733","40,539","74,002","56,868","3,432","54,975","72,709","58,792","7,885","63,423","73,045","73,044","7,456","58,170","287,230","255,476"
Other,I-193,Passport/Visa Waiver Applications,79,148,15,551,89,41,30,567,66, D ,18,611,89, D ,15,680,323,200
Other,I-360,Immigrant Petitions,"4,472","5,114","1,926","11,588","4,790","4,231","1,547","11,356","5,882","3,690","1,196","13,029","5,126","3,815","1,075","13,722","20,270","16,850"
Other,I-485,Other Adjustments of Status,"6,511","4,617",853,"17,580","6,578","6,051",953,"15,779","7,679","6,778",871,"17,175","6,858","6,509",860,"16,484","27,626","23,955"
Other,I-5397,Applications to Extend/ Change Nonimmigrant Status,"39,976","39,498","7,121","44,643","39,984","42,800","7,729","41,732","49,368","42,942","7,989","47,824","52,856","48,689","9,247","51,007","182,184","173,929"
Other,I-824,Action on Approved Applications or Petitions,"3,072","3,372",682,"3,174","2,807","2,475",550,"2,968","3,166","2,064",405,"3,820","3,106","1,168",175,"5,641","12,151","9,079"
Other,Waivers8,Waivers,"15,558","19,432","2,141","57,969","15,004","7,656","3,091","61,882","16,691","8,123","3,046","69,455","15,873","7,071","2,837","76,500","63,126","42,282"
,,,,,,,,,,,,,,,,,,,,
"D  Data withheld to protect applicants' privacy. Does not apply to Form N-644, Posthumous Naturalization.",,,,,,,,,,,,,,,,,,,,
"N  Not captured.  Credible and Reasonable Fear screenings (and their respective forms I-867 and I-899) do not confer an immigration benefit, rather they are intended to identify individuals with viable protection claims, which are then referred to the Immigration Courts for adjudication.  Asylum Officers do not adjudicate the actual asylum applications during the screening process.",,,,,,,,,,,,,,,,,,,,
"""-"" Represents zero.",,,,,,,,,,,,,,,,,,,,
1  Fiscal year begins October 1 and ends September 30 of the reporting period.,,,,,,,,,,,,,,,,,,,,
2  The number of new forms received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,,,,,,,
3  The number of forms approved during the reporting period.,,,,,,,,,,,,,,,,,,,,
"4   The number of applications that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,,,,,,,,
5   The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,,,,,,,
"6  Includes the following applications for persons applying for benefits under the Immigration Reform and Control Act of 1986:  Forms I-687, I-700. I-698, I-690, I-694, and I-695.",,,,,,,,,,,,,,,,,,,,
7  Includes applications submitted using the USCIS Electronic Immigration System (USCIS ELIS).,,,,,,,,,,,,,,,,,,,,
"8  Includes the following applications filed to waive exclusionary grounds:  Forms I-191, I-192, I-212, I-601, I-602, and I-612.",,,,,,,,,,,,,,,,,,,,
NOTE:  1) Some processed forms may have been received in previous reporting periods. ,,,,,,,,,,,,,,,,,,,,
                2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,,,,,,,,
"Source:  All Forms Except I-589 , I-821D, I-881, I-867, and I-889 - Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Analysis System (PAS), October 2014",,,,,,,,,,,,,,,,,,,,
"               I-821D - Department of Homeland Security, U.S. Citizenship and Immigration Services, Citizenship and Immigration Service Centralized Operational Repository (CISCOR) October 2014",,,,,,,,,,,,,,,,,,,,
"               I-589 , I-881, I-867, and I-889 data was provided by the Directorate of Refugee, Asylum and International Operations",,,,,,,,,,,,,,,,,,,,
