,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category and Form No.,,Description,Forms by Status and Period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1st Quarter1,,,,2nd Quarter1,,,,3rd Quarter1,,,,4th Quarter1,,,,Fiscal Year 2015 To-Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-751,Remove Conditions on Residence," 38,380 "," 35,521 "," 2,046 "," 107,582 "," 42,933 "," 34,465 "," 1,793 "," 113,130 "," 42,982 "," 36,064 "," 2,010 "," 120,204 "," 41,490 "," 41,470 "," 2,059 "," 118,793 "," 165,785 "," 147,520 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-800/800A,Convention Country Adoptions," 2,114 "," 2,022 ", 49 , 641 ," 2,021 "," 1,915 ", 51 , 709 ," 2,154 "," 2,209 ", 61 , 610 ," 2,041 "," 2,175 ", 66 , 548 ," 8,330 "," 8,321 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employment Based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-129,Nonimmigrant Worker Petitions," 80,429 "," 98,491 "," 24,200 "," 39,886 "," 74,813 "," 74,444 "," 18,089 "," 37,889 "," 205,982 "," 113,925 "," 20,865 "," 129,873 "," 122,419 "," 116,070 "," 23,411 "," 132,572 "," 483,643 "," 402,930 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-140,Immigrant Petitions for Workers," 23,188 "," 20,382 "," 1,813 "," 36,177 "," 24,079 "," 24,796 "," 1,875 "," 36,117 "," 23,698 "," 27,047 "," 1,631 "," 32,973 "," 27,930 "," 27,252 "," 1,829 "," 34,957 "," 98,895 "," 99,477 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-485,Employment-Based Adjustments," 26,419 "," 21,368 "," 1,585 "," 120,045 "," 30,846 "," 26,232 "," 1,667 "," 122,812 "," 34,266 "," 38,464 "," 1,651 "," 118,481 "," 31,708 "," 31,352 "," 1,988 "," 116,941 "," 123,239 "," 117,416 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-526,Petitions by Entrepreneurs," 2,941 "," 1,652 ", 133 ," 13,526 "," 2,309 "," 1,978 ", 273 ," 13,663 "," 2,473 "," 2,868 ", 257 ," 13,117 "," 6,575 "," 2,185 ", 377 ," 17,367 "," 14,298 "," 8,683 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-765,Employment Authorization Documents," 488,518 "," 446,682 "," 27,495 "," 358,485 "," 668,842 "," 537,398 "," 25,031 "," 475,507 "," 479,636 "," 613,749 "," 27,135 "," 395,961 "," 393,900 "," 495,882 "," 24,538 "," 328,848 "," 2,030,896 "," 2,093,711 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-829,Remove Conditions on Entrepreneur, 810 , 69 , -   ," 3,080 ", 693 , 269 , D ," 3,524 ", 765 , 268 , D ," 4,007 ", 499 , 461 , D ," 4,049 "," 2,767 "," 1,067 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-924,Regional Center Applications, 96 , 46 , D , 316 , 71 , 66 , 16 , 334 , 85 , 75 , D , 340 , 551 , 75 , D , 804 , 803 , 262 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humanitarian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-485,Asylum Adjustments," 8,448 "," 9,388 ", 308 ," 19,850 "," 9,494 "," 8,787 ", 338 ," 20,597 "," 11,633 "," 7,369 ", 329 ," 24,780 "," 8,803 "," 8,074 ", 345 ," 25,309 "," 38,378 "," 33,618 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-485,Refugee Adjustments," 14,730 "," 15,792 ", 368 ," 34,364 "," 17,045 "," 20,590 ", 434 ," 30,669 "," 18,123 "," 17,928 ", 439 ," 31,118 "," 18,522 "," 17,191 ", 448 ," 32,358 "," 68,420 "," 71,501 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-485,Indo Chinese Adjustments , -   , D , -   , 10 , D , -   , D , 12 , -   , -   , -   , 13 , -   , -   , D , 11 , N/A , N/A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-485,Cuban Adjustment Act," 11,055 "," 3,390 ", 378 ," 38,707 "," 11,306 "," 6,425 ", 389 ," 43,038 "," 11,245 "," 14,925 ", 488 ," 37,298 "," 12,731 "," 17,697 ", 578 ," 31,579 "," 46,337 "," 42,437 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-589,Asylum Application," 18,697 "," 3,116 ", 173 ," 73,103 "," 19,147 "," 4,166 ", 94 ," 82,156 "," 22,537 "," 3,613 ", 42 ," 94,715 "," 23,855 "," 3,449 ", 56 ," 108,725 "," 84,236 "," 14,344 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Legalization6,Legalization/ SAW, 33 , 22 , 26 , 362 , 33 , 37 , 47 , 305 , 25 , 33 , 86 , 300 , 39 , 27 , 52 , 280 , 130 , 119 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-730,Refugee/Asylee Relative Petitions," 4,103 "," 2,901 ", 767 ," 10,559 "," 3,955 "," 2,776 ", 572 ," 11,051 "," 3,981 "," 3,220 ", 808 ," 10,896 "," 3,717 "," 3,536 ", 834 ," 10,152 "," 15,756 "," 12,433 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-817,Family Unity Applications, 342 , 439 , 20 ," 1,357 ", 409 , 646 , 17 ," 1,090 ", 411 , 810 , 25 , 688 , 282 , 270 , 47 , 673 ," 1,444 "," 2,165 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-821,Temporary Protected Status," 58,780 "," 3,028 "," 1,228 "," 60,679 "," 206,324 "," 31,719 ", 693 ," 234,703 "," 5,746 "," 168,210 ", 852 ," 72,417 "," 15,184 "," 55,765 "," 1,111 "," 31,068 "," 286,034 "," 258,722 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-821D,Deferred Action for Childhood Arrivals," 152,541 "," 155,034 "," 6,343 "," 137,687 "," 157,593 "," 118,795 "," 5,146 "," 156,073 "," 109,165 "," 152,859 "," 5,777 "," 99,526 "," 65,020 "," 85,249 "," 4,301 "," 71,037 "," 484,319 "," 511,937 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-867,Credible Fear Referral," 9,522 ", N , N , 486 ," 9,437 ", N , N , 710 ," 12,610 ", N , N ," 1,846 "," 16,483 ", N , N ," 3,045 "," 48,052 ", N/A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-881,NACARA 203 Applications, 159 , 155 , 35 , 480 , 172 , 152 , 22 , 499 , 209 , 195 , 41 , 492 , 160 , 149 , 36 , 471 , 700 , 651 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-889,Reasonable Fear," 1,775 ", N , N , 863 ," 1,904 ", N , N , 668 ," 1,953 ", N , N , 410 ," 2,383 ", N , N , 339 ," 8,015 ", N/A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-914,T Nonimmigrant Status Applications, 518 , 444 , 195 ," 1,120 ", 537 , 401 , 127 ," 1,146 ", 632 , 248 , 79 ," 1,293 ", 537 , 211 , 85 ," 1,666 "," 2,224 "," 1,304 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-918,U Nonimmigrant Status Applications," 13,087 "," 16,672 ", 975 ," 74,769 "," 12,776 ", 553 ," 1,397 "," 85,922 "," 12,898 ", 278 ," 1,140 "," 97,595 "," 13,905 ", 191 ," 1,168 "," 110,303 "," 52,666 "," 17,694 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-929,Petitions for Family of U Nonimmigrants, 199 , 86 , D , 667 , 174 , 118 , 14 , 705 , 280 , 172 , 13 , 706 , 280 , 125 , 20 , 895 , 933 , 501 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citizenship and Nationality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N-300,Declaration of Intent, D , D , -   , D , D , D , D , D , D , D , -   , 12 , D , 17 , D , 11 , N/A , 17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N-336,Requests for Hearing, 990 , 573 , 545 ," 2,820 ", 949 , 637 , 481 ," 2,671 "," 1,169 ", 526 , 492 ," 2,797 "," 1,192 ", 631 , 524 ," 2,925 "," 4,300 "," 2,367 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N-400,Military Naturalization," 2,095 "," 1,728 ", 194 ," 3,290 "," 2,493 "," 1,952 ", 163 ," 4,369 "," 2,269 "," 1,900 ", 129 ," 4,112 "," 2,829 "," 1,941 ", 157 ," 3,739 "," 9,686 "," 7,521 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N-400,Non-Military Naturalization," 161,833 "," 150,832 "," 16,099 "," 377,349 "," 195,097 "," 171,836 "," 17,762 "," 384,043 "," 214,231 "," 189,939 "," 19,214 "," 395,285 "," 202,128 "," 210,557 "," 22,042 "," 363,270 "," 773,289 "," 723,164 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N-470,Preserve Residence for Naturalization, 65 , 35 , 53 , 285 , 77 , 46 , 59 , 260 , 81 , 47 , 29 , 265 , 62 , 49 , 40 , 244 , 285 , 177 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N-565,Replace Naturalization/Citizenship Certificates," 5,968 "," 1,294 ", 242 ," 22,325 "," 7,233 "," 5,816 ", 496 ," 24,211 "," 7,466 "," 9,050 ", 949 ," 21,964 "," 6,945 "," 7,682 "," 1,099 "," 20,101 "," 27,612 "," 23,842 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N-600/600K,Recognition of Citizenship Applications," 13,519 "," 13,225 "," 1,221 "," 30,952 "," 16,410 "," 13,197 "," 1,305 "," 33,168 "," 17,402 "," 15,006 "," 1,546 "," 32,958 "," 15,981 "," 12,901 "," 1,249 "," 34,804 "," 63,312 "," 54,329 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N-644,Posthumous Naturalization, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N-648,Disability Exception Applications," 2,193 "," 3,031 "," 1,616 "," 2,063 "," 2,923 "," 3,321 "," 1,836 "," 2,544 "," 2,742 "," 3,387 "," 1,798 "," 3,049 "," 2,550 "," 3,258 "," 1,468 "," 3,249 "," 10,408 "," 12,997 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-90,Renew/Replace Permanent Resident Cards," 162,985 "," 228,994 "," 9,691 "," 398,841 "," 232,082 "," 267,029 "," 8,198 "," 361,236 "," 200,374 "," 195,897 "," 9,494 "," 354,603 "," 172,117 "," 183,055 "," 6,652 "," 336,653 "," 767,558 "," 874,975 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-102,Replace I-94s," 1,913 "," 1,403 ", 396 ," 3,448 "," 1,957 "," 1,742 ", 480 ," 3,343 "," 2,126 "," 1,390 ", 547 ," 3,618 "," 1,936 "," 1,569 ", 473 ," 3,559 "," 7,932 "," 6,104 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-131,Reentry Permit/Refugee Travel Document," 18,184 "," 21,642 "," 1,410 "," 25,670 "," 19,922 "," 19,155 ", 555 ," 25,567 "," 24,199 "," 16,150 "," 1,430 "," 33,044 "," 23,661 "," 24,838 "," 1,418 "," 30,629 "," 85,966 "," 81,785 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-131,Advance Parole," 69,059 "," 66,030 "," 4,890 "," 57,190 "," 81,728 "," 71,236 "," 5,287 "," 66,393 "," 92,562 "," 85,029 "," 6,138 "," 68,456 "," 88,769 "," 77,928 "," 5,818 "," 73,962 "," 332,118 "," 300,223 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-193,Passport/Visa Waiver Applications, 51 , 126 , 12 , 604 , 52 , 15 , 15 , 626 , 82 , D , D , 687 , 61 , D , D , 729 , 246 , 141 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-360,Immigrant Petitions," 5,397 "," 10,794 ", 930 ," 8,834 "," 5,856 "," 4,328 ", 924 ," 9,983 "," 7,122 "," 5,689 ", 878 ," 10,643 "," 8,114 "," 5,546 ", 884 ," 12,752 "," 26,489 "," 26,357 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-485,Other Adjustments of Status," 6,382 "," 5,061 ", 699 ," 17,785 "," 6,240 "," 6,440 ", 784 ," 16,964 "," 8,795 "," 6,488 ", 851 ," 19,183 "," 8,177 "," 7,329 ", 876 ," 18,663 "," 29,594 "," 25,318 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-5397,Applications to Extend/ Change Nonimmigrant Status," 46,367 "," 43,071 "," 7,213 "," 47,187 "," 42,021 "," 32,428 "," 6,492 "," 51,516 "," 53,800 "," 29,931 "," 5,080 "," 70,619 "," 57,632 "," 40,910 "," 6,906 "," 80,729 "," 199,820 "," 146,340 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-824,Action on Approved Applications or Petitions," 2,969 "," 1,497 ", 266 ," 6,769 "," 2,799 "," 2,313 ", 365 ," 7,001 "," 3,128 "," 2,568 ", 444 ," 6,983 "," 2,731 "," 3,637 ", 709 ," 5,437 "," 11,627 "," 10,015 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Waivers8,Waivers," 16,050 "," 19,233 "," 2,567 "," 71,795 "," 15,643 "," 5,664 "," 2,324 "," 81,347 "," 16,614 "," 5,683 "," 2,426 "," 91,901 "," 17,285 "," 5,368 "," 2,028 "," 103,711 "," 65,592 "," 35,948 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"D  Data withheld to protect applicants' privacy. Does not apply to Form N-644, Posthumous Naturalization.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"N  Not captured.  Credible and Reasonable Fear screenings (and their respective forms I-867 and I-899) do not confer an immigration benefit, rather they are intended to identify individuals with viable protection claims, which are then referred to the Immigration Courts for adjudication.  Asylum Officers ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
          do not adjudicate the actual asylum applications during the screening process.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Represents zero.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1  Fiscal year begins October 1 and ends September 30 of the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2  The number of new forms received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3  The number of forms approved during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4   The number of applications that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5   The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6  Includes the following applications for persons applying for benefits under the Immigration Reform and Control Act of 1986:  Forms I-687, I-700. I-698, I-690, I-694, and I-695.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7  Includes applications submitted using the USCIS Electronic Immigration System (USCIS ELIS).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8  Includes the following applications filed to waive exclusionary grounds:  Forms I-191, I-192, I-212, I-601, I-602, and I-612.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE:  1) Some processed forms may have been received in previous reporting periods. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
             2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3),Some revisions to previous quarterly counts have been made and are reflected in this report only.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source:  All Forms Except I-589 and I-881 - Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Analysis System (PAS), September 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                I-589 and I-881 data was provided by the Directorate of Refugee, Asylum and International Operations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
